verse_no,spoken_by,sanskrit_text,translation_1,translation_2,translation_3,translation_4,translation_5
1.1,Dhritrashtra,धरमकषतर करकषतर समवत ययतसव ममक पणडवशचव कमकरवत सञजय,dhṛtarāṣṭra said o sanjaya what did my people and the pāṇḍavas do gathered together on the holy field of kurukshetra eager for battle,dhṛtarāṣṭra said o sanjaya what did my sons and the sons of pandu do when they assembled on the sacred field of kurukshetra eager for battle,dhritarashtra said what did my people and the sons of pandu do when they had assembled together eager for battle on the holy plain of kurukshetra o sanjaya,dhritarashtra said o sanjaya what did my sons and the sons of pandu do in the kurukshetra the field of righteousness where the entire warring class had assembled,the king dhritarashtra asked o sanjaya what happened on the sacred battlefield of kurukshetra when my people and the pandavas gathered
1.2,Sanjay,दषटव त पणडवनक वयढ दरयधनसतद आचरयमपसङगमय रज वचनमबरवत,sanjaya said king duryodhana upon seeing the pandava army in battle array approached his teacher drona and said these words,sanjaya said but then seeing the army of the pandavas in battle array king duryodhana approached the teacher drona and spoke,sanjaya said having seen the army of the pandavas drawn up in battle array king duryodhana approached his teacher drona and spoke these words,sanjaya said seeing the army of the sons of pandu marshaled in military array the prince duryodhana approached the teacher drona and spoke these words at that time,sanjaya replied when prince duryodhana saw the pandavas army paraded he approached his preceptor guru drona and spoke these words
1.3,Sanjay,पशयत पणडपतरणमचरय महत चमम वयढ दरपदपतरण तव शषयण धमत,behold o teacher this mighty army of the pandavas arrayed by the son of drupada your intelligent disciple,o teacher behold this vast army of the sons of pandu arrayed for battle by the intelligent disciple of drupada,behold o teacher this mighty army of the sons of pandu arrayed by the son of drupada thy wise disciple,o teacher behold this mighty army of the sons of pandu marshaled in a military array by drupadas son your intelligent pupil,revered father behold this mighty host of the pandavas paraded by the son of king drupada your wise disciple
1.4,Sanjay,अतर शर महषवस भमरजनसम यध ययधन वरटशच दरपदशच महरथ,there in that army are heroes great bowmen such as bhima and arjuna yuyudhana virata and drupada a mighty warrior,here are the heroes wielding great bows who in battle are peers of bhima and arjuna yuyudhana satyaki and virata and the maharatha great chariotrider drupada,here are heroes mighty archers equal in battle to bhima and arjuna yuyudhana satyaki virata and drupadaall mighty warriors,here are the heroes and mighty archers comparable in war to bhima and arjuna yuyudhana the king of the virata country and drupada the mighty warrior,in it are heroes and great bowmen the equals in battle of arjuna bheema yuyudhana virata and drupadaall great soldiers
1.5,Sanjay,धषटकतशचकतन कशरजशच वरयवन परजतकनतभजशच शबयशच नरपङगव,dhrstaketu cekitana the valiant king of kasi purujit kuntibhoja and saibya the best among men,dhrstaketu cekitana and the valiant king of kasi varanasi purujit kuntibhoja and saibya the choicest of men,dhrishtaketu chekitana the valiant king of kasi purujit kuntibhoja and saibyathe best of men,dhrstaketu cekitana the valorous king of kasi kuntibhoja the conqueror of many and the sibi king the best among men,dhrishtaketu chekitan the valiant king of benares purujit kuntibhoja and shaibyaa master of many
1.6,Sanjay,यधमनयशच वकरनत उततमजशच वरयवन सभदर दरपदयशच सरव एव महरथ,yudhamanyu the valiant one and uttamaujas the strong one and also the son of subhadra as well as the sons of draupadi all mighty warriors,and the valiant yudhamanyu and the chivalrous uttamaujas the son of subhadra abhimanyu and the sons of draupadiall of them are indeed maharathas,the strong yudhamanyu and the brave uttamaujas the son of subhadra abhimanyu the son of subhadra and arjuna and the sons of draupadi all of them great charioteers great heroes,and yudhamanyu the heroic and uttamaujas the valiant the son of subhadra and the sons of draupadiall of them are indeed mighty warriors,yudhamanyu uttamouja soubhadra and the sons of droupadiall famous men
1.7,Sanjay,असमक त वशषट य तननबध दवजततम नयक मम सनयसय सजञरथ तनबरवम त,know o best of brahmanas those who are important on our sidethose who are the commanders of my army i shall name them to refresh your memory,but o best among the brahmanas please be appraised of those who are foremost among us the founders of my army i speak of them to you by way of illustration,know also o best among the twiceborn the names of those who are the most distinguished amongst ourselves the leaders of my army these i name to you for your information,o best among the twiceborn please take note of the most distinguished amongst us who are the generals of my army and who are accepted as leaders by the heroes in my mighty army i shall name them to you,further take note of all those captains who have ranged themselves on our side o best of spiritual guides the leaders of my army i will name them for you
1.8,Sanjay,भवनभषमशच करणशच कपशच समतञजय अशवतथम वकरणशच समदततसतथव च,yourself bhisma karna the victorious krpa asvatthama vikarna and jayadratha the son of somadatta,they are your venerable self bhisma karna and krpa who is ever victorious in battle asvatthama vikarna saumadatti and jayadratha,thou thyself bhishma karna kripa the victorious in war asvatthama vikarna and bhurisrava the son of somadattaall these are ready for battle,your good self bhisma karna krpa salya jayadratha asvatthaman vikarna and somadattas son the valiant ones,you come first then bheeshma karna kripa great warriors ashwaththama vikarna and the son of somadhatta
1.9,Sanjay,अनय च बहव शर मदरथ तयकतजवत ननशसतरपरहरण सरव यदधवशरद,and there are many other heroes who are determined to give up their lives for my sake they are all experts in using manifold missiles and dexterous in battle,there are many heroes who have dedicated their lives to me possessing various kinds of weapons and missiles all of whom are skilled in battle,and also many other heroes ready to give up their lives for my sake armed with various weapons and missiles all wellskilled in battle,and many other heroes giving up their lives for my sake fighting with various weapons all highly skilled in different forms of warfare,and many others all ready to die for my sake all armed all skilled in warfare
1.10,Sanjay,अपरयपत तदसमक बल भषमभरकषतम परयपत तवदमतष बल भमभरकषतम,our force is inadequate guarded by bhisma while their force is adequate guarded by bhima,therefore our army under the complete protection of bhisma and others is limitless but this army of the enemies under the protection of bhima and others is limited,our army marshalled by bhishma is insufficient whereas theirs marshalled by bhima is sufficient,thus the army guarded by bhima is unlimited for us whereas the army guarded by bhisma is sufficient for them the pandavas,yet our army seems weaker though commanded by bhishma their army seems stronger though commanded by bhima
1.11,Sanjay,अयनष च सरवष यथभगमवसथत भषममवभरकषनत भवनत सरव एव ह,therefore all of you taking your places firmly in your respective divisions should guard bhisma at all costs,however venerable sirs all of you without exception while occupying all the positions in the different directions as allotted to you respectively please protect bhisma in particular,therefore do all of you stationed in your respective positions in the several divisions of the army protect bhishma alone,stationed firmly in all their respective paths each one of them should guard bhisma above all without exception,therefore let the rank and file stand firm in their posts according to battalions and all you generals around bheeshma
1.12,Sanjay,तसय सजनयनहरष करवदध पतमह सहनद वनदयचच शङख दधम परतपवन,then the valiant grandsire bhisma the seniormost of the kuru clan roared like a lion and blew his conch with the intention of cheering up duryodhana,the valiant grandfather the eldest of the kurus loudly sounding a lions roar blew the conch to raise his duryodhanas spirits,his glorious grandsire the oldest of the kauravas roared like a lion to cheer duryodhana and blew his conch,generating joy in him the powerful paternal grandfather bhisma the seniormost among the kurus roared like a lion and blew his conchshell loudly,then to enliven his spirits the brave grandfather bheeshma the eldest of the kuru clan blew his conch its sound resembling that of a lions roar
1.13,Sanjay,तत शङखशच भरयशच पणवनकगमख सहसवभयहनयनत स शबदसतमलऽभवत,then suddenly conchs kettle drums trumpets tabors and blow horns blared forth and the sound was terrific,just immediately afterward conch shells kettledrums tabors trumpets and cowhorns blared forth creating a tumultuous sound,then suddenly conches kettledrums tabors drums and cow horns blared forth from the kaurava side and the sound was tremendous,then all of a sudden the conchshells drums tambourines trumpets and cowhorns sounded in unison the sound was tumultuous,and immediately all the conches drums trumpets and horns blared forth in a tumultuous uproar
1.14,Sanjay,तत शवतरहयरयकत महत सयनदन सथत मधव पणडवशचव दवय शङख परदधमत,then sri krishna and arjuna stationed in their great chariot yoked with white horses blew their divine conchs,then madhava krishna and the son of pandu arjuna stationed in their magnificent chariot with white horses yoked to it blew their divine conchs loudly,then madhava krishna and the son of pandu arjuna seated in the magnificent chariot yoked with white horses blew divine conches,then mounted on a mighty chariot yoked with white horses madhava krishna and the son of pandu arjuna blew their heavenly conch shells,then seated in their spacious war chariot yoked with white horses lord shri krishna and arjuna sounded their divine conch shells
